author,nid,affiliation,google_scholar_ID
Douglas S. Massey,8833,,"""T758DcgAAAAJ"""
Elizabeth Rhodes,8838,"Professor of Hispanic Studies, Boston College","""PfUOWowAAAAJ"""
Herbert S. Klein,9073,NaN,"""FHvFFV0AAAAJ"""
Carol Dweck,8796,No affiliations available,"""AW49xiMAAAAJ"""
Gavin Wright,9050,NaN,"""VnYF208AAAAJ"""
Harry Holzer,8859,"McCourt School of Public Policy, Georgetown University","""Q76YWaUAAAAJ"""
Jackelyn Hwang,9722,Stanford University,"""ty2rpKcAAAAJ"""
Manuel Amador,9337,University of Minnesota and Federal Reserve Bank of Minneapolis,"""czf1yGsAAAAJ"""
Mary C. Brinton,9170,"Department of Sociology, Harvard University","""mo4pUgIAAAAJ"""
Michael S. Wald,8914,No affiliations available,"""ECH8WU4AAAAJ"""
Paula England,8928,"Professor of Sociology, New York University","""u8_cxocAAAAJ"""
Robert Crosnoe,9245,"Department of Sociology and Population Research Center, University of Texas at Austin","""K-y3E_kAAAAJ"""
Robert A. Margo,9242,"Professor of Economics, Boston University","""KI6r-_cAAAAJ"""
Shannon Monnat,8957,Syracuse University,"""RxpT8KIAAAAJ"""
Andrew Penner,8766,"Professor of Sociology, UC Irvine","""g_fOq6oAAAAJ"""
David Rehkopf,8822,"Department of Medicine, Stanford University","""85mEA54AAAAJ"""
Deborah Reed,8825,The University of Tennessee,"""dFPR598AAAAJ"""
Ineke Maas,9075,"Professor of Sociology, Utrecht University/VU University Amsterdam","""lHZlqNsAAAAJ"""
Edna Bonacich,9033,"University of California, Riverside","""LkYgluQAAAAJ"""
Joshua Cohen,9117,NaN,"""fuBKiY4AAAAJ"""
Laura L. Carstensen,8889,Stanford University,"""hsKzGAwAAAAJ"""
Michael Burawoy,9177,"Professor of Sociology, University of California, Berkeley","""PQEEGw8AAAAJ"""
Sir Michael Marmot,9273,"Professor of Epidemiology, University College London","""V7AleF4AAAAJ"""
Noam Chomsky,9200,No affiliations available,"""rbgNVw0AAAAJ"""
Scott M. Lynch,9270,"Professor of Sociology, Duke University","""FsxAfB0AAAAJ"""
Stefanie A. Deluca,8960,Johns Hopkins university,"""xD0EgOYAAAAJ"""
David H. Autor,9019,"Professor of Economics, MIT","""cp-8uaAAAAAJ"""
Gopi Shah Goda,8854,Stanford University,"""lLntuhUAAAAJ"""
Elizabeth Frankenberg,9037,University of North Carolina,"""K9cUPCAAAAAJ"""
James R. Walker,9085,No affiliations available,"""NpF2GeoAAAAJ"""
Richard Breen,8941,"Professor of Sociology and Fellow of Nuffield College, University of Oxford","""peGwkbcAAAAJ"""
Gil Eyal,9055,"Professor of sociology, Columbia University","""yf7DjpEAAAAJ"""
Greg Walton,8856,No affiliations available,"""9N9PPqAAAAAJ"""
James J. Heckman,8867,"Professor of Economics at University of Chicago, American Bar Foundation Research Fellow","""7EelTwgAAAAJ"""
Jennie Brand,9097,"Professor, University of California - Los Angeles","""7MFnZaoAAAAJ"""
Lisa A. Keister,9146,"Professor of Sociology, Duke University","""zu0mz_cAAAAJ"""
Mary C. Waters,8906,Harvard University,"""RZ8-H4cAAAAJ"""
Michele Lamont,9185,"Professor, Harvard University","""ZlpExMwAAAAJ"""
Richard Alba,9236,"Distinguished Professor of Sociology, CUNY Graduate Center","""OTbb8b8AAAAJ"""
Robert Denis Mare,9246,"Professor of Sociology, UCLA","""R77Xmr0AAAAJ"""
Sean Reardon,8955,"professor of education and sociology, stanford university","""LKx7rDsAAAAJ"""
Steven Raphael,8962,Berkeley,"""ZVam1i8AAAAJ"""
Michael Hout,8911,New York University,"""Pvb6rzEAAAAJ"""
Nicholas Bloom,8923,No affiliations available,"""fJy1tloAAAAJ"""
Matt Desmond,8908,NaN,"""FqLYrAEAAAAJ"""
Matthijs Kalmijn,9174,Netherlands Interdisciplinary Demographic Institute (NIDI-KNAW),"""OEMqUeAAAAAJ"""
Robert J. Sampson,8945,Harvard University,"""n6LdssUAAAAJ"""
Steven J. Davis,9283,NaN,"""S7bkdggAAAAJ"""
Chris Bobonich,9008,Missing,Missing
Julia Isaacs,8881,"Urban Institute, Senior Fellow",Missing
Kazuo Yamaguchi,9130,Missing,Missing
Michael Omi,9182,Missing,Missing
Myra Strober,9192,Missing,Missing
Percy C. Hintzen,9214,Missing,Missing
Trond Petersen,9303,Missing,Missing
G. William Domhoff,8851,"University of California, Santa Cruz, Psychology Department",Missing
Robert H. Frank,8943,Missing,Missing
Heather L. Schwartz,8860,Missing,Missing
Manning Marable,9153,Missing,Missing
Jennifer Eberhardt,8871,"Stanford University, Psychology Department",Missing
Juliet Brodie,9124,Missing,Missing
Richard Sennett,9239,Missing,Missing
Stephen Small,9281,Missing,Missing
Jonathan Schwabish,8879,"Urban Institute, Senior Fellow",Missing
Karl Alexander,8883,Missing,Missing
Michael Baker,9176,"Department of Economics, University of Toronto",Missing
Amy Stuart Wells,9000,No affiliations available,"""aSDgc5QAAAAJ"""
Barbara Kiviat,10260,Stanford University,"""xZW1SzgAAAAJ"""
Brigid Barron,8788,"Professor of Education, Stanford University","""V8bau84AAAAJ"""
Charles P. Henry,8801,"Professor of Chemistry, Colorado State University","""1FmlBNUAAAAJ"""
Colin Mills,9013,Oxford University,"""ITcdc00AAAAJ"""
Daniel Bertaux,8813,"CNRS FRance, Sociologie. Laboratoire Dynamiques Europ√©ennes, Universit√© de ‚Ä¶","""Q4JDICUAAAAJ"""
Emmanuel Saez,8839,"Professor of Economics, UC Berkeley","""qZpr_CQAAAAJ"""
Fernando Riosmena,8844,Associate Professor. Population Program and Geography Department. University of ‚Ä¶,"""r6PObW8AAAAJ"""
Firdaus Dhabhar,8846,"Miller School of Medicine, University of Miami","""MyX3RksAAAAJ"""
Frank D. Bean,9046,"Professor of Sociology, University of California, Irvine","""MDw8DcQAAAAJ"""
Harry B. G. Ganzeboom,9330,"Professor of Sociology and Social Research Methodology, VU University Amsterdam","""-abxxmUAAAAJ"""
Jeffrey R. Kling,9096,"Faculty Research Fellow, National Bureau of Economic Research","""hbJB9FQAAAAJ"""
Jesper Sorensen,9101,NaN,"""aCkLjUoAAAAJ"""
John Goldthorpe,9107,"Nuffield College, Oxford","""1FgS9pkAAAAJ"""
John Roemer,9112,"Elizabeth and Varick Stout Professor of Political Science and Economics,Yale University","""wlf3GLcAAAAJ"""
Kathleen Gerson,9128,"Collegiate Professor of Sociology, New York University","""zuKRXEIAAAAJ"""
Lawrence F. Katz,8892,"Allison Professor of Economics, Harvard University","""MAqEdFMAAAAJ"""
Lisa Gennetian,8897,"Pritzker Professor of Early Learning Policy Studies, Professor of Public Policy, Duke ‚Ä¶","""s9N6eI4AAAAJ"""
Margarita Estevez-Abe,9155,"Maxwell School of Citizenship and Pubic Affairs, Syracuse University","""b6UNpLMAAAAJ"""
Matthew Clair,10257,"Assistant Professor of Sociology, Stanford University","""dDM_XDoAAAAJ"""
Michelle Jackson,9340,NaN,"""qog1wHkAAAAJ"""
Monica McDermott,9188,Arizona State University,"""eTxf8tIAAAAJ"""
Noah Lewin-Epstein,9199,Tel Aviv University,"""aMeOcaAAAAAJ"""
Orley C. Ashenfelter,9202,No affiliations available,"""JnUVSHsAAAAJ"""
Patrick Sharkey,8926,"William S Tod Professor of Sociology and Public Affairs, Princeton University","""J_Df5rsAAAAJ"""
Paul DiMaggio,9209,"A. Barton Hepburn Professor of Sociology & Public Affairs, Princeton University","""0A5Gnc0AAAAJ"""
Peter Hedstrom,9217,NaN,"""0GSbsgsAAAAJ"""
Petr Mateju,9222,NaN,"""CTG_H0UAAAAJ"""
Richard B. Freeman,8940,NaN,"""u-5ncqYAAAAJ"""
Romain Wacziarg,9257,"Professor of Economics, Hans Hufschmid Chair, UCLA Anderson","""u_-T7RIAAAAJ"""
Bryan S. Graham,8793,"Professor of Economics, University of California - Berkeley","""ff5UvfQAAAAJ"""
Noliwe Rooks,9201,brown university,"""tb--Eo4AAAAJ"""
Alberto Abadie,8994,"Professor of Economics, MIT","""9rOAlq4AAAAJ"""
Margaret Simms,8898,No affiliations available,"""VIe2ULIAAAAJ"""
Susan Fiske,9286,"Eugene Higgins Professor, Psychology & Public Affairs, Princeton University","""4jnrVhoAAAAJ"""
Victor Lavy,9308,"Professor of economics, Hebrew University and University Warwick","""gcDh2dgAAAAJ"""
Kwame Anthony Appiah,9137,"Professor of Philosophy and Law, NYU","""B6ZqFrUAAAAJ"""
Roger Waldinger,9255,"Distinguished Professor of Sociology, UCLA","""GvSYk80AAAAJ"""
Donald Tomaskovic-Devey,9028,"Professor of Sociology, University of Massachusetts, Amherst","""6IIFqigAAAAJ"""
Mariah Debra Ruperti Evans,9157,No affiliations available,"""nzmbLYoAAAAJ"""
Michael Tomz,9184,"Professor of Political Science, Stanford University","""uQ1rl0UAAAAJ"""
Ulrike Malmendier,9304,"Professor of Economics, Department of Economics, and Professor of Finance, Haas School ‚Ä¶","""cbgmkk4AAAAJ"""
Andrew Walder,8767,"Professor of Sociology, Stanford University","""gunBPPcAAAAJ"""
Hilary Hoynes,8862,"Professor of Economics, University of California Berkeley","""QyEpkJ0AAAAJ"""
Martina Morris,9169,,"""W1mQuqwAAAAJ"""
Peter Cappelli,9216,"Professor of Management, The Wharton School, University of Pennsylvania","""5dtUmAMAAAAJ"""
Thomas McDade,8971,Carlos Montezuma Professor of Anthropology,"""8MWP8Z0AAAAJ"""
Guido W. Imbens,9060,Stanford University,"""dYwbc9sAAAAJ"""
Samuel H. Preston,9263,Professor of Sociology University of Pennsylvania,"""o8TlyGMAAAAJ"""
Yu Xie,8979,NaN,"""yF9AT-4AAAAJ"""
Caroline Ratcliffe,8797,No affiliations available,"""NEFdv44AAAAJ"""
Jonathan Kelley,9116,"International Survey Center & University of Nevada, Reno","""2h8EhAIAAAAJ"""
David Harding,8819,"Professor of Sociology, UC Berkeley","""t5XxEi8AAAAJ"""
David Laitin,8820,"Professor of Political Science, Stanford University","""nWArfawAAAAJ"""
Hazel Markus,9066,Professor of Psychology,"""bjxXElgAAAAJ"""
Lester Mackey,8894,Microsoft Research,"""erv7TP0AAAAJ"""
Marianne LaFrance,9158,"Professor of Psychology, Yale University","""8sjtyGIAAAAJ"""
Neil Fligstein,9197,"Department of Sociology, University of California","""TDFHGecAAAAJ"""
Stefan Svallfors,9278,"Research Professor, Institute for Futures Studies, Stockholm","""fFXD6MAAAAAJ"""
Adrian E. Raftery,8755,NaN,"""QN9RQAYAAAAJ"""
Amitabh Chandra,8765,"Professor, Harvard University","""VNI_Zf4AAAAJ"""
Jeffrey P. Thompson,8870,"Assistant Professor of Biostatistics & Data Science, University of Kansas Medical Center","""zUX8-rgAAAAJ"""
Alvin E. Roth,8764,NaN,"""C3HHY7oAAAAJ"""
Steven G. Brint,9282,"Distinguished Professor of Sociology, University of California at Riverside","""7ItivIMAAAAJ"""
Filiz Garip,8845,"Professor of Sociology and Public & International Affairs, Princeton University","""e3IQeS_3N8MC"""
Janet Currie,9090,Princeton University,"""EEUah_wAAAAJ"""
David Card,8817,"Professor of Economics, UC Berkeley","""lqmGJIkAAAAJ"""
Michael Greenstone,9179,"Milton Friedman Professor of Economics, University of Chicago","""vUNE8mAAAAAJ"""
Loic Wacquant,9149,"University of California, Berkeley","""6oyaJnoAAAAJ"""
David Broockman,9560,"Associate Professor, University of California, Berkeley","""Ifl1VQEAAAAJ"""
Daron Acemoglu,8816,"Economics, MIT","""l9Or8EMAAAAJ"""
Dennis Gilbert,8828,Missing,Missing
Nicole Shelton,9198,Missing,Missing
Steven N. Durlauf,9284,Steans Professor in Educational Policy at the Harris School of Public Policy Studies at the University of Chicago,Missing
Edmund S. Phelps,9032,Missing,Missing
Estelle B. Freedman,9043,Missing,Missing
Mark Cullen,8900,Stanford University School of Medicine,Missing
Joanne Martin,9104,Stanford Graduate School of Business,Missing
Hiroshi Ishida,9074,Tokyo University of Agriculture and Technology,Missing
Allen W. Wood,8763,Missing,Missing
Michelle Wilde Anderson,9558,University of Michigan School of Medicine,Missing
Dennis Hogan,9024,Missing,Missing
James Ferguson,8866,No affiliations available,Missing
William Bridges,9316,Missing,Missing
Michael Schwarz,9339,Missing,Missing
